WaypointType,Waypoint.x,Waypoint.y,Waypoint.angle,WaitTime,ArmPosition,IntakeState,ClawOpen,ArmOffsetTime,TimedClawRelease
0,19.5,276,180,0,0,0,0,0,0
1,146,300,180,0,0,0,0,0,0
1,226,164,90,0,0,0,0,0,0
1,226,104,90,0,0,0,0,0,0
0,316,4,90,0,3,0,0,0,0
0,316,4,90,0,3,0,1,0,100
0,316,44,90,0,3,0,1,0,0
0,316,44,90,0,3,0,1,0,0
0,316,4,90,0,3,0,1,0,0
0,316,4,90,0,3,0,0,0,0
0,286,34,135,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0
