WaypointType,Waypoint.x,Waypoint.y,Waypoint.angle,WaitTime,ArmPosition,IntakeState,ClawOpen,ArmOffsetTime
0,19.5,276,0,0,0,0,0,1500
1,240,168,270,0,0,0,0,0
1,240,84,260,0,0,0,0,0
1,204,36,180,0,0,0,0,0
0,168,72,100,0,1,0,0,0
3,0,0,0,400,1,0,1,0
5,0,0,0,0,0,0,0,0
