WaypointType,Waypoint.x,Waypoint.y,Waypoint.angle,WaitTime,ArmPosition,IntakeState,ClawOpen,ArmOffsetTime
0,19.5,160,0,0,0,0,0,1500
0,151,110,0,0,1,0,0,0
3,0,0,0,400,1,0,1,0
0,151,110,0,0,1,0,0,0
0,127,110,0,0,1,0,0,0
3,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
