WaypointType,Waypoint.x,Waypoint.y,Waypoint.angle,WaitTime,ArmPosition,IntakeState,ClawOpen,ArmOffsetTime
0,19.5,48,0,0,0,0,0,4000
1,258,150,90,0,0,0,0,0
1,270,238,60,0,0,0,0,0
0,350,254,310,0,3,0,0,0
3,0,0,0,400,3,0,1,0
5,0,0,0,0,0,0,0,0
