WaypointType,Waypoint.x,Waypoint.y,Waypoint.angle,WaitTime,ArmPosition,IntakeState,ClawOpen,ArmOffsetTime
0,0,0,0,0,0,0,0,0
0,120,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
