WaypointType,Waypoint.x,Waypoint.y,Waypoint.angle,WaitTime,ArmPosition,IntakeState,ClawOpen,ArmOffsetTime
0,19.5,48,0,0,0,0,0,1500
1,240,156,90,0,0,0,0,0
1,240,240,100,0,0,0,0,0
1,204,288,180,0,0,0,0,0
0,168,252,260,0,1,0,0,0
3,0,0,0,400,1,0,1,0
5,0,0,0,0,0,0,0,0
